Compound,Negative,Neutral,Positive,Tweet Count,User
0.0,0.0,1.0,0.0,1,@BBCWorld
0.0,0.0,1.0,0.0,2,@BBCWorld
0.0,0.0,1.0,0.0,3,@BBCWorld
-0.34,0.138,0.862,0.0,4,@BBCWorld
-0.34,0.138,0.862,0.0,5,@BBCWorld
0.0,0.0,1.0,0.0,6,@BBCWorld
-0.4215,0.189,0.811,0.0,7,@BBCWorld
-0.34,0.138,0.862,0.0,8,@BBCWorld
-0.4995,0.222,0.67,0.108,9,@BBCWorld
-0.4215,0.189,0.811,0.0,10,@BBCWorld
0.0,0.0,1.0,0.0,11,@BBCWorld
-0.85,0.303,0.697,0.0,12,@BBCWorld
0.0,0.0,1.0,0.0,13,@BBCWorld
-0.4215,0.189,0.811,0.0,14,@BBCWorld
-0.4995,0.222,0.67,0.108,15,@BBCWorld
0.6705,0.205,0.418,0.376,16,@BBCWorld
-0.4215,0.189,0.811,0.0,17,@BBCWorld
-0.4215,0.189,0.811,0.0,18,@BBCWorld
0.0,0.0,1.0,0.0,19,@BBCWorld
0.0,0.0,1.0,0.0,20,@BBCWorld
-0.4215,0.189,0.811,0.0,21,@BBCWorld
0.0,0.0,1.0,0.0,22,@BBCWorld
-0.8553,0.33,0.67,0.0,23,@BBCWorld
-0.9136,0.394,0.606,0.0,24,@BBCWorld
-0.4215,0.189,0.811,0.0,25,@BBCWorld
0.0,0.0,1.0,0.0,26,@BBCWorld
0.743,0.0,0.657,0.343,27,@BBCWorld
0.6166,0.0,0.705,0.295,28,@BBCWorld
-0.4215,0.189,0.811,0.0,29,@BBCWorld
0.3818,0.0,0.755,0.245,30,@BBCWorld
0.0,0.0,1.0,0.0,31,@BBCWorld
0.0,0.0,1.0,0.0,32,@BBCWorld
-0.4215,0.189,0.811,0.0,33,@BBCWorld
-0.7351,0.437,0.563,0.0,34,@BBCWorld
0.0,0.0,1.0,0.0,35,@BBCWorld
0.8225,0.0,0.542,0.458,36,@BBCWorld
0.0,0.0,1.0,0.0,37,@BBCWorld
0.0,0.0,1.0,0.0,38,@BBCWorld
0.0,0.0,1.0,0.0,39,@BBCWorld
0.0,0.0,1.0,0.0,40,@BBCWorld
-0.7783,0.405,0.595,0.0,41,@BBCWorld
